mutation_rate,chromosome_length,maze_type,instance_seed,trial_seed,success,iterations,path_length,optimal_length,path_optimality,mean_entropy
0.01,80,U-Trap,1,1002,False,610,64,61,1.0491803278688525,4.139565285584389
0.01,80,U-Trap,1,1001,False,610,50,61,0.819672131147541,4.031283690844803
0.01,80,U-Trap,1,1005,False,610,54,61,0.8852459016393442,4.147329842374006
0.01,80,U-Trap,1,1004,False,610,60,61,0.9836065573770492,4.211659013697926
0.01,80,U-Trap,1,1003,False,610,58,61,0.9508196721311475,4.040657907579076
0.01,80,U-Trap,1,1006,False,610,60,61,0.9836065573770492,4.062675340033371
0.01,80,U-Trap,1,1000,False,610,58,61,0.9508196721311475,3.9898332684393054
0.01,80,U-Trap,1,1007,False,610,56,61,0.9180327868852459,4.038370696349883
0.01,80,U-Trap,1,1008,False,610,56,61,0.9180327868852459,4.137434499819473
0.01,80,U-Trap,1,1009,False,610,62,61,1.0163934426229508,4.058445001734389
0.01,160,U-Trap,1,1003,False,610,108,61,1.7704918032786885,4.301712607343012
0.01,160,U-Trap,1,1001,False,610,94,61,1.540983606557377,4.241716570623778
0.01,160,U-Trap,1,1002,False,610,102,61,1.6721311475409837,4.093581075785549
0.01,160,U-Trap,1,1004,False,610,110,61,1.8032786885245902,4.080514384422623
0.01,160,U-Trap,1,1005,False,610,94,61,1.540983606557377,4.442858627834732
0.01,160,U-Trap,1,1000,False,610,100,61,1.639344262295082,4.512878877973901
0.01,160,U-Trap,1,1006,False,610,96,61,1.5737704918032787,4.418658207853787
0.05,80,U-Trap,1,1000,False,610,49,61,0.8032786885245902,4.965010869628168
0.01,160,U-Trap,1,1007,False,610,98,61,1.6065573770491803,4.332475153087453
0.05,80,U-Trap,1,1001,False,610,56,61,0.9180327868852459,4.903398353509981
0.05,80,U-Trap,1,1002,False,610,55,61,0.9016393442622951,4.9800900837373
0.05,80,U-Trap,1,1003,False,610,51,61,0.8360655737704918,4.962040820439329
0.01,160,U-Trap,1,1009,False,610,102,61,1.6721311475409837,4.354366215821755
0.01,160,U-Trap,1,1008,False,610,108,61,1.7704918032786885,4.220555215535698
0.05,80,U-Trap,1,1004,False,610,52,61,0.8524590163934426,4.987027536937022
0.05,80,U-Trap,1,1005,False,610,51,61,0.8360655737704918,5.010538850361463
0.05,80,U-Trap,1,1006,False,610,48,61,0.7868852459016393,4.94766563836769
0.05,80,U-Trap,1,1008,False,610,57,61,0.9344262295081968,4.960284484608023
0.05,80,U-Trap,1,1007,False,610,53,61,0.8688524590163934,4.939252562491771
0.05,80,U-Trap,1,1009,False,610,57,61,0.9344262295081968,4.990840844854022
0.05,160,U-Trap,1,1000,False,610,107,61,1.7540983606557377,5.227199228947886
0.05,160,U-Trap,1,1001,False,610,110,61,1.8032786885245902,5.260993300585365
0.05,160,U-Trap,1,1004,False,610,101,61,1.6557377049180328,5.2560232955046855
0.05,160,U-Trap,1,1003,False,610,107,61,1.7540983606557377,5.253915275982433
0.05,160,U-Trap,1,1002,False,610,118,61,1.9344262295081966,5.278214664158975
0.05,160,U-Trap,1,1005,False,610,113,61,1.8524590163934427,5.239467757436114
0.05,160,U-Trap,1,1006,False,610,122,61,2.0,5.284665343516584
0.05,160,U-Trap,1,1007,False,610,117,61,1.9180327868852458,5.23460491632596
0.1,80,U-Trap,1,1002,False,610,59,61,0.9672131147540983,5.18467450645947
0.1,80,U-Trap,1,1000,False,610,54,61,0.8852459016393442,5.211518540223708
0.05,160,U-Trap,1,1008,False,610,109,61,1.7868852459016393,5.275471296310037
0.1,80,U-Trap,1,1001,False,610,48,61,0.7868852459016393,5.216282253342719
0.1,80,U-Trap,1,1004,False,610,48,61,0.7868852459016393,5.207581129615551
0.1,80,U-Trap,1,1003,False,610,50,61,0.819672131147541,5.23847063761836
0.05,160,U-Trap,1,1009,False,610,110,61,1.8032786885245902,5.269652081240578
0.1,80,U-Trap,1,1005,False,610,56,61,0.9180327868852459,5.228439733821884
0.1,80,U-Trap,1,1006,False,610,57,61,0.9344262295081968,5.216228221527512
0.1,80,U-Trap,1,1007,False,610,50,61,0.819672131147541,5.217400256468691
0.1,80,U-Trap,1,1008,False,610,62,61,1.0163934426229508,5.231138005494885
0.1,80,U-Trap,1,1009,False,610,57,61,0.9344262295081968,5.2235450495945335
0.1,160,U-Trap,1,1001,False,610,108,61,1.7704918032786885,5.416845710247379
0.1,160,U-Trap,1,1000,False,610,113,61,1.8524590163934427,5.405932853685036
0.1,160,U-Trap,1,1002,False,610,113,61,1.8524590163934427,5.434129574996512
0.1,160,U-Trap,1,1003,False,610,101,61,1.6557377049180328,5.400934456144761
0.1,160,U-Trap,1,1004,False,610,117,61,1.9180327868852458,5.4152867307384716
0.1,160,U-Trap,1,1007,False,610,116,61,1.901639344262295,5.417134426483849
0.1,160,U-Trap,1,1005,False,610,111,61,1.819672131147541,5.420532632377817
