algo,maze_type,pop_size,instance_seed,trial_seed,success_overall,success_postdisruption,iterations,path_length,optimal_length,path_optimality,time_to_half_entropy,diversity_floor,mean_entropy,adaptation_time,entropy_history
GA,U-Trap,20,1,1002,True,True,10,107,61,1.7540983606557377,,3.721928094887362,3.721928094887362,,[3.721928094887362]
GA,U-Trap,20,1,1001,True,True,41,77,61,1.2622950819672132,,2.9219280948873623,3.2919909102904525,,"[4.021928094887362, 2.9219280948873623, 3.103701696057348, 3.108694969562842, 3.303701696057348]"
GA,U-Trap,20,1,1008,True,True,10,89,61,1.459016393442623,,3.7219280948873616,3.7219280948873616,,[3.7219280948873616]
GA,U-Trap,20,1,1005,True,True,23,91,61,1.4918032786885247,,2.9464393446710155,3.389992312205802,,"[4.1219280948873624, 3.1016094970590276, 2.9464393446710155]"
GA,U-Trap,20,1,1000,False,False,610,59,61,0.9672131147540983,360,0.8475846798245739,2.9292603595989273,,"[3.746439344671015, 2.460964047443681, 3.303701696057348, 3.303701696057348, 3.4219280948873623, 2.9016094970590274, 2.8393538721672007, 2.119240704636849, 3.0393538721672004, 2.884183719779189, 3.6464393446710153, 3.303701696057348, 3.521928094887362, 3.139353872167201, 2.795461844238322, 2.439353872167201, 3.321928094887362, 3.546439344671015, 2.8464393446710154, 2.9464393446710155, 2.070950594454669, 2.5577174691301483, 2.460964047443681, 3.2086949695628415, 3.484183719779189, 2.763865121950854, 3.2841837197791888, 3.046439344671015, 3.7219280948873616, 2.565957320949175, 2.560964047443681, 2.8659573209491747, 2.4211274733371866, 2.863865121950854, 2.1709505944546685, 2.821928094887362, 0.8475846798245739, 2.4192407046368487, 3.3464393446710154, 2.9219280948873623, 2.6841837197791887, 3.5841837197791886, 3.2037016960573483, 3.1037016960573482, 3.403701696057348, 3.1086949695628423, 3.2464393446710154, 3.1393538721672005, 3.0393538721672004, 2.1709505944546685, 2.695461844238322, 3.003701696057348, 2.9086949695628417, 2.960964047443681, 3.5464393446710156, 2.5577174691301483, 3.6414460711655217, 3.2841837197791888, 3.341446071165522, 2.708694969562842, 1.419035274338866]"
GA,U-Trap,20,1,1004,False,False,610,50,61,0.819672131147541,,2.460964047443681,3.0764409531552115,,"[4.021928094887362, 3.2414460711655217, 3.4219280948873623, 3.003701696057348, 2.4232196723355077, 2.5638651219508537, 2.795461844238322, 2.6219280948873624, 3.721928094887362, 2.701609497059027, 3.884183719779189, 2.65887184844536, 3.184183719779189, 2.9464393446710155, 3.1464393446710153, 3.5841837197791886, 3.139353872167201, 3.641446071165521, 3.2709505944546686, 2.939353872167201, 3.6219280948873624, 3.2037016960573483, 2.808694969562842, 2.695461844238322, 3.621928094887362, 3.001609497059027, 3.103701696057348, 1.8166422780956524, 3.1414460711655217, 2.808694969562842, 3.7841837197791888, 2.808694969562842, 3.139353872167201, 3.5086949695628418, 2.9219280948873623, 3.003701696057348, 3.7841837197791888, 2.460964047443681, 3.046439344671015, 4.1219280948873624, 3.3414460711655214, 2.9464393446710155, 3.046439344671015, 3.3464393446710154, 3.065957320949175, 3.021928094887362, 2.6841837197791887, 3.346439344671015, 2.903701696057348, 3.1393538721672005, 3.265957320949175, 3.1414460711655217, 3.003701696057348, 3.0609640474436812, 2.9037016960573485, 2.5954618442383217, 2.946439344671015, 3.003701696057348, 2.5609640474436812, 2.5609640474436812, 2.460964047443681]"
GA,U-Trap,20,2,2001,False,False,530,76,53,1.4339622641509433,320,1.533206219346495,2.7992427969182594,,"[4.021928094887362, 2.5332062193464955, 3.1414460711655217, 2.185475297227334, 2.6577174691301484, 3.346439344671015, 2.821928094887362, 3.208694969562842, 3.621928094887362, 3.1464393446710153, 2.601609497059027, 3.5414460711655216, 2.460964047443681, 2.763865121950854, 3.1037016960573482, 2.5577174691301483, 2.4232196723355077, 2.9016094970590274, 2.884183719779189, 3.003701696057348, 3.2037016960573483, 2.946439344671015, 3.2464393446710154, 2.5577174691301483, 2.595461844238322, 2.695461844238322, 2.9464393446710155, 3.5086949695628413, 2.8219280948873617, 2.9659573209491747, 3.139353872167201, 2.701609497059027, 1.9166422780956522, 1.8166422780956526, 3.041446071165522, 3.3414460711655214, 3.039353872167201, 2.721928094887362, 3.341446071165522, 3.003701696057348, 2.319973094021975, 3.6086949695628414, 2.5954618442383217, 1.533206219346495, 2.070950594454669, 2.821928094887362, 3.408694969562842, 2.070950594454669, 2.7588718484453603, 2.5577174691301483, 1.9166422780956522, 1.5567796494470396, 2.6609640474436813]"
GA,U-Trap,20,2,2000,False,False,530,58,53,1.0943396226415094,50,1.3917601481809734,2.848576546942754,,"[3.9841837197791885, 3.308694969562842, 3.3464393446710154, 3.7464393446710154, 2.7588718484453603, 1.9128876215181603, 2.3192407046368486, 1.4166422780956525, 2.4954618442383216, 2.3232196723355076, 3.1414460711655217, 2.070950594454669, 3.1464393446710153, 2.4232196723355077, 2.701609497059027, 3.3414460711655214, 2.219240704636849, 2.946439344671015, 3.0016094970590275, 2.5609640474436812, 2.9232196723355077, 3.003701696057348, 3.6414460711655217, 2.660964047443681, 3.4414460711655215, 3.2464393446710154, 2.4232196723355077, 2.884183719779189, 3.1037016960573482, 3.2464393446710154, 3.521928094887362, 2.6841837197791887, 2.621928094887362, 2.9016094970590274, 3.521928094887362, 2.765957320949175, 3.4219280948873623, 3.446439344671015, 3.1609640474436813, 3.346439344671015, 2.5577174691301483, 3.446439344671015, 3.2464393446710154, 3.5841837197791886, 1.8166422780956524, 1.9166422780956522, 3.4464393446710155, 2.1709505944546685, 2.6841837197791887, 2.460964047443681, 2.460964047443681, 2.6577174691301484, 1.3917601481809734]"
GA,U-Trap,20,1,1003,False,False,610,75,61,1.2295081967213115,40,1.9332062193464952,2.9361319171188636,,"[4.1219280948873624, 3.0219280948873624, 3.8464393446710154, 2.6609640474436813, 1.9332062193464952, 2.560964047443681, 3.446439344671015, 2.701609497059027, 3.0659573209491744, 3.5414460711655216, 3.5414460711655216, 2.1709505944546685, 2.5954618442383217, 2.663865121950854, 2.7841837197791888, 3.165957320949175, 3.1393538721672005, 3.4414460711655215, 2.5609640474436812, 2.721928094887362, 2.533206219346495, 3.3464393446710154, 3.0709505944546684, 3.1841837197791887, 3.2464393446710154, 3.5414460711655216, 3.5841837197791886, 2.8659573209491747, 2.6841837197791887, 2.6464393446710153, 3.0841837197791886, 2.8016094970590273, 3.5841837197791886, 2.6219280948873624, 2.863865121950854, 2.7841837197791888, 2.219240704636849, 2.821928094887362, 2.5609640474436812, 2.439353872167201, 3.1414460711655217, 2.665957320949175, 3.003701696057348, 3.521928094887362, 3.5841837197791886, 3.2464393446710154, 2.457717469130148, 2.5037016960573486, 2.1709505944546685, 2.9219280948873623, 2.728212945841001, 2.2464393446710154, 3.0016094970590275, 3.0016094970590275, 3.821928094887362, 3.3464393446710154, 3.346439344671015, 3.1841837197791887, 2.2577174691301485, 2.460964047443681, 2.3192407046368486]"
GA,U-Trap,20,2,2004,True,True,21,85,53,1.6037735849056605,,2.5588718484453605,3.075746429334579,,"[3.9219280948873623, 2.5588718484453605, 2.7464393446710154]"
