algo,maze_type,pop_size,instance_seed,trial_seed,success_overall,success_postdisruption,iterations,path_length,optimal_length,path_optimality,time_to_half_entropy,diversity_floor,mean_entropy,adaptation_time,entropy_history
GA,Parallel Paths,20,1,42,True,True,1,82,78,1.0512820512820513,,3.646439344671015,3.646439344671015,,[3.646439344671015]
GA,Parallel Paths,50,1,42,True,True,1,78,78,1.0,,4.212180011265246,4.212180011265246,,[4.212180011265246]
GA,Parallel Paths,150,1,42,True,True,1,78,78,1.0,,4.608209488657909,4.608209488657909,,[4.608209488657909]
PSO,Shortest Path Trap,20,1,42,True,True,244,170,170,1.0,,3.984183719779189,3.2675702616528546,,"[0.4689955935892812, 0.4689955935892812, 1.0540157730728, 2.228212945841001, 2.903701696057348, 3.0414460711655216, 3.003701696057348, 3.003701696057348, 3.2414460711655217, 3.1414460711655217, 3.1414460711655217, 3.2414460711655217, 3.484183719779189, 3.6841837197791882, 3.646439344671015, 3.9219280948873623, 4.1219280948873624, 4.1219280948873624, 4.1219280948873624, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 3.984183719779189, 4.021928094887362]"
PSO,Shortest Path Trap,50,1,42,True,True,208,170,170,1.0,,5.253660689688188,3.9547280424671225,,"[0.6343095546405662, 0.8841140545540274, 1.5011191885631823, 2.3582410708379484, 3.301608233155286, 3.678004614523968, 3.6223080613822476, 3.6374058114255168, 4.050881379939832, 4.218171939471839, 4.313269689515108, 4.543465189601648, 4.593269689515109, 4.798562939644918, 4.863465189601648, 5.013660689688187, 5.053660689688187, 5.1487584397314565, 5.118562939644918, 5.148758439731457, 5.2687584397314575, 5.253660689688188]"
PSO,Sudden Wall,20,1,42,True,True,944,400,400,1.0,,4.1219280948873624,3.0057658098797533,0,"[0.0, 0.0, 0.0, 0.28639695711595625, 1.675143246409987, 2.4232196723355073, 2.1211274733371868, 1.6804820237218405, 2.5464393446710156, 2.808694969562842, 2.808694969562842, 3.5219280948873624, 2.946439344671015, 3.2841837197791888, 3.621928094887362, 3.5464393446710147, 3.621928094887362, 3.484183719779189, 3.7841837197791888, 3.9219280948873623, 3.921928094887362, 3.546439344671015, 3.721928094887362, 3.6841837197791882, 3.646439344671015, 3.7841837197791888, 3.921928094887362, 3.8219280948873617, 3.646439344671015, 3.6841837197791882, 3.8219280948873617, 3.6841837197791887, 2.9414460711655215, 2.9414460711655215, 3.003701696057348, 1.9954618442383218, 2.165957320949175, 2.408694969562842, 1.6804820237218405, 0.28639695711595625, 0.28639695711595625, 1.4904685707328282, 2.946439344671015, 2.221928094887362, 2.7464393446710154, 2.9037016960573485, 2.321127473337187, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 1.0, 2.2709505944546686, 2.333206219346495, 2.333206219346495, 2.333206219346495, 2.333206219346495, 2.263865121950854, 2.263865121950854, 2.5609640474436812, 3.4086949695628417, 3.8841837197791884, 4.1219280948873624, 3.821928094887362, 4.1219280948873624, 4.021928094887362, 3.7841837197791888, 3.7841837197791888, 3.7841837197791888, 4.021928094887362, 3.8841837197791884, 3.9219280948873623, 3.821928094887362, 4.021928094887362, 4.021928094887362, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.1219280948873624, 4.321928094887363]"
PSO,Shortest Path Trap,150,1,42,True,True,206,170,170,1.0,,6.383697650692486,4.589845645931831,,"[0.7478061583312325, 1.0595891622164428, 1.790003532460865, 2.7206104142109826, 3.6514165612104574, 4.1057729778487575, 4.1990065969117145, 4.287135136570874, 4.508297561110353, 4.672848937772891, 4.809142986643381, 5.042878551831497, 5.247720631768442, 5.468256068178149, 5.572753215116198, 5.706193297989553, 5.885890754272106, 6.164233087102193, 6.266127837203157, 6.358362523627286, 6.328860567431269, 6.383697650692486]"
PSO,Sudden Wall,50,1,42,True,True,984,400,400,1.0,,5.388758439731458,3.597474016665315,0,"[0.0, 0.0, 0.0, 0.6343095546405662, 2.1111197773146975, 2.9235908204078274, 2.6186885704510967, 2.29521058262596, 3.0199872017765097, 3.181664262558637, 3.144498451560163, 3.6779224424047756, 3.330065684548562, 3.8141773206674427, 4.199079570624174, 4.008047190938307, 4.028954822090642, 4.190435500513582, 4.2161746300696405, 4.116245381622648, 4.385979129983103, 4.326370130156179, 4.199079570624174, 4.183981820580905, 4.416174630069641, 4.433269689515108, 4.4010768800263715, 4.453660689688186, 3.943144940981576, 4.191789011092168, 4.212180011265246, 3.8732696895151073, 3.5537863204943654, 3.3917890110921682, 3.418688570451096, 2.472935039619369, 2.72902557364365, 2.8589122456763043, 2.1939278236003807, 0.88211674515183, 0.88211674515183, 2.0391487851390098, 3.2631449409815767, 2.9547086737963584, 3.177851690851768, 3.478242691024846, 2.655737364135085, 0.6343095546405662, 0.0, 0.0, 0.0, 0.0, 0.9988455359952018, 1.9840400014175492, 2.1779822783063403, 2.5460275453184815, 2.5460275453184815, 2.5460275453184815, 2.676703515684072, 2.716703515684072, 3.049400701516894, 3.9162453816226477, 3.832487689168952, 4.11127238011291, 4.03127238011291, 4.356565630242719, 4.191272380112911, 4.094177320667443, 4.2594705707972516, 4.2194705707972515, 4.55572875064339, 4.645533250556852, 4.933660689688187, 5.1087584397314565, 5.1487584397314565, 5.1487584397314565, 5.243856189774726, 5.2287584397314575, 5.078562939644918, 4.9887584397314555, 5.188758439731456, 5.2536606896881874, 5.213660689688187, 5.118562939644918, 5.1087584397314565, 5.2287584397314575, 5.093660689688187, 5.213660689688187, 5.283856189774728, 5.163856189774727, 5.148758439731457, 5.163856189774727, 5.2687584397314575, 5.2287584397314575, 5.348758439731458, 5.076565630242721, 5.291663380285991, 5.283856189774728, 5.2287584397314575, 5.388758439731458]"
PSO,Parallel Paths,20,1,42,True,True,82,82,78,1.0512820512820513,,0.747584679824574,0.6761490453304568,,"[0.4689955935892812, 0.4689955935892812, 0.4689955935892812, 0.4689955935892812, 0.8475846798245739, 0.8475846798245739, 0.8475846798245739, 0.8475846798245739, 0.747584679824574, 0.747584679824574]"
PSO,Parallel Paths,50,1,42,True,True,82,82,78,1.0512820512820513,,1.2137629491660324,1.0816337925733321,,"[0.6343095546405662, 0.6343095546405662, 0.6343095546405662, 0.84211674515183, 1.3815701396772961, 1.2137629491660324, 1.5166678897205654, 1.4766678897205656, 1.268860699209302, 1.2137629491660324]"
