maze_type,pop_size,metric,algo_a,algo_b,u,p_raw,p_holm,rank_biserial,n_a,n_b,note
Parallel Paths,20,success_overall,GA,PSO,5150.0,0.08273761607811554,1.0,0.030000000000000027,100,100,
Parallel Paths,20,success_overall,GA,ACO,5000.0,1.0,1.0,0.0,100,100,
Parallel Paths,20,success_overall,PSO,ACO,4850.0,0.08273761607811554,1.0,-0.030000000000000027,100,100,
Parallel Paths,20,iterations,GA,PSO,0.0,9.324340224048549e-39,2.051354849290681e-37,-1.0,100,100,
Parallel Paths,20,iterations,GA,ACO,0.0,1.653688737904794e-41,4.134221844761985e-40,-1.0,100,100,
Parallel Paths,20,iterations,PSO,ACO,8131.0,2.1561744481979432e-16,2.8030267826573264e-15,0.6262000000000001,100,100,
Parallel Paths,20,diversity_floor,GA,PSO,8941.5,5.915553910895439e-22,6.507109301984983e-21,0.7883,100,100,
Parallel Paths,20,diversity_floor,GA,ACO,4646.0,0.38764586903393417,0.38764586903393417,-0.07079999999999997,100,100,
Parallel Paths,20,diversity_floor,PSO,ACO,943.5,3.688696890775675e-23,4.426436268930811e-22,-0.8113,100,100,
Parallel Paths,20,mean_entropy,GA,PSO,9816.0,5.789900253574238e-32,6.947880304289086e-31,0.9632000000000001,100,100,
Parallel Paths,20,mean_entropy,GA,ACO,9845.0,2.5002881854886567e-32,3.5004034596841193e-31,0.9690000000000001,100,100,
Parallel Paths,20,mean_entropy,PSO,ACO,980.0,9.108937511125709e-23,7.287150008900567e-22,-0.804,100,100,
Parallel Paths,20,path_optimality,GA,PSO,4161.0,0.03458704086434496,0.5533926538295194,-0.1420618556701031,100,97,
Parallel Paths,20,path_optimality,GA,ACO,5450.0,0.12271334866237371,1.0,0.09000000000000008,100,100,
Parallel Paths,20,path_optimality,PSO,ACO,5975.5,0.0003190437042393167,0.005423742972068384,0.23206185567010307,97,100,
Parallel Paths,20,time_to_half_entropy,GA,PSO,,,,,0,7,insufficient n
Parallel Paths,20,time_to_half_entropy,GA,ACO,,,,,0,0,insufficient n
Parallel Paths,20,time_to_half_entropy,PSO,ACO,,,,,7,0,insufficient n
Parallel Paths,50,success_overall,GA,PSO,5000.0,1.0,1.0,0.0,100,100,
Parallel Paths,50,success_overall,GA,ACO,5000.0,1.0,1.0,0.0,100,100,
Parallel Paths,50,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Parallel Paths,50,iterations,GA,PSO,0.0,2.8653361471153537e-39,6.590273138365313e-38,-1.0,100,100,
Parallel Paths,50,iterations,GA,ACO,0.0,1.2300233941435667e-43,3.198060824773273e-42,-1.0,100,100,
Parallel Paths,50,iterations,PSO,ACO,8346.0,5.657270009145821e-20,7.92017801280415e-19,0.6692,100,100,
Parallel Paths,50,diversity_floor,GA,PSO,9159.0,2.9627807487698907e-24,3.851614973400858e-23,0.8318000000000001,100,100,
Parallel Paths,50,diversity_floor,GA,ACO,4055.5,0.021079266516296137,0.06323779954888842,-0.18889999999999996,100,100,
Parallel Paths,50,diversity_floor,PSO,ACO,671.0,3.8388207797319385e-26,5.758231169597908e-25,-0.8658,100,100,
Parallel Paths,50,mean_entropy,GA,PSO,10000.0,2.5618550313305253e-34,6.917008584592418e-33,1.0,100,100,
Parallel Paths,50,mean_entropy,GA,ACO,9977.0,5.105196003086791e-34,7.657794004630187e-33,0.9954000000000001,100,100,
Parallel Paths,50,mean_entropy,PSO,ACO,609.0,7.544836386867177e-27,7.544836386867177e-26,-0.8782,100,100,
